iter	RMSE
0	4.386185982
1	4.087639173
2	3.817039629
3	3.568567801
4	3.339282151
5	3.129721207
6	2.935051049
7	2.757193962
8	2.594222751
9	2.443215129
10	2.30569975
11	2.178539297
12	2.060889829
13	1.954036906
14	1.857322549
15	1.768364332
16	1.684563118
17	1.609285199
18	1.53785491
19	1.475461679
20	1.417822695
21	1.361018377
22	1.313185013
23	1.267355789
24	1.228457104
25	1.192170401
26	1.157717344
27	1.127408157
28	1.098225802
29	1.070964952
30	1.047461654
31	1.027136999
32	1.008235288
33	0.9911302662
34	0.9748607387
35	0.9597459236
36	0.9460023807
37	0.9320709914
38	0.9213258616
39	0.9097450065
40	0.9004843888
41	0.8909952771
42	0.8835016426
43	0.8750538101
44	0.8689606421
45	0.8637321451
46	0.8564760682
47	0.8513775845
48	0.8455452698
49	0.8396440355
50	0.8352156269
51	0.830986249
52	0.8259337187
53	0.8227780027
54	0.8185328658
55	0.8154762125
56	0.8121414393
57	0.8091890471
58	0.8053285002
59	0.8018302327
60	0.7990410356
61	0.7963136979
62	0.7934550335
63	0.7903883144
64	0.7880024551
65	0.7861521363
66	0.7840622812
67	0.7809578314
68	0.778551743
69	0.776263195
70	0.7738862296
71	0.7716889321
72	0.7692515781
73	0.7672727399
74	0.7650247058
75	0.763279897
76	0.7616590653
77	0.7597570314
78	0.7580166859
79	0.756550109
80	0.7547945265
81	0.7537233009
82	0.7512533142
83	0.7490417071
84	0.7476665074
85	0.7451711885
86	0.7440001268
87	0.7418705314
88	0.7402770197
89	0.7389457714
90	0.7373727546
91	0.7362441659
92	0.7336825562
93	0.7321586337
94	0.7305964645
95	0.7296399806
96	0.727151965
97	0.726029341
98	0.724368664
99	0.7233943445
100	0.7215602583
101	0.7199565068
102	0.7188426829
103	0.7178003838
104	0.7162858546
105	0.7152416525
106	0.7132392085
107	0.7121585676
108	0.7107754471
109	0.7093717398
110	0.7085608179
111	0.7071899499
112	0.7055879501
113	0.7044049025
114	0.703405172
115	0.7022752944
116	0.7008089361
117	0.6998426087
118	0.6990364852
119	0.6979870715
120	0.696409073
121	0.6955482104
122	0.6948070155
123	0.6938406919
124	0.6930487846
125	0.6922721994
126	0.6909710472
127	0.6904191866
128	0.689362377
129	0.6879046422
130	0.6866097115
131	0.6854608504
132	0.6841817824
133	0.6831981679
134	0.6823629266
135	0.6808798397
136	0.6796550772
137	0.6785084482
138	0.6775671828
139	0.6762894981
140	0.6748011099
141	0.6740413244
142	0.6731890469
143	0.6721843622
144	0.6707798035
145	0.6694823207
146	0.6687612043
147	0.6670465778
148	0.6660925338
149	0.6652536313
150	0.6642900939
151	0.6632155377
152	0.6619562673
153	0.6610138868
154	0.6598992619
155	0.658881662
156	0.6579141145
157	0.656830075
158	0.6556582415
159	0.6544956768
160	0.6538946197
161	0.6526184563
