iter	Passed	Remaining
0	105	2119063
1	193	1936410
2	289	1927702
3	380	1903348
4	481	1924181
5	562	1876015
6	648	1852171
7	727	1819145
8	807	1794472
9	892	1785046
10	972	1767642
11	1046	1742886
12	1136	1746931
13	1222	1744532
14	1298	1730368
15	1422	1777161
16	1500	1763475
17	1574	1748141
18	1660	1746341
19	1751	1749344
20	1838	1749214
21	1912	1736586
22	1991	1730130
23	2059	1713876
24	2135	1706430
25	2207	1696033
26	2267	1677620
27	2343	1671787
28	2421	1667510
29	2490	1658170
30	2557	1647180
31	2632	1642758
32	2713	1641683
33	2793	1640473
34	2875	1639990
35	2952	1637535
36	3017	1627899
37	3090	1623400
38	3155	1615192
39	3220	1607008
40	3284	1598966
41	3355	1594635
42	3417	1586131
43	3487	1581580
44	3545	1572428
45	3612	1566875
46	3691	1567370
47	3753	1560134
48	3815	1553650
49	3881	1548533
50	3945	1543163
51	4008	1537717
52	4081	1536085
53	4145	1531278
54	4220	1530435
55	4273	1522084
56	4335	1516920
57	4394	1511063
58	4468	1510243
59	4545	1510715
60	4608	1506349
61	4675	1503533
62	4756	1505134
63	4827	1503667
64	4890	1499775
65	4959	1497907
66	5022	1494164
67	5101	1495383
68	5162	1491149
69	5241	1492408
70	5323	1494290
71	5400	1494832
72	5473	1494172
73	5541	1492202
74	5618	1492522
75	5683	1489846
76	5744	1486224
77	5827	1488343
78	5894	1486376
79	5965	1485420
80	6034	1484001
81	6092	1479769
82	6168	1480248
83	6232	1477684
84	6311	1478781
85	6396	1481143
86	6449	1476160
87	6533	1478350
88	6590	1474394
89	6648	1470871
90	6737	1474034
91	6806	1472961
92	6892	1475350
93	6968	1475697
94	7028	1472756
95	7088	1469693
96	7163	1469914
97	7225	1467293
98	7283	1464226
99	7343	1461282
100	7415	1460919
101	7495	1462282
102	7569	1462271
103	7630	1459786
104	7705	1460009
105	7766	1457632
106	7858	1461004
107	7918	1458518
108	8001	1460222
109	8087	1462354
110	8143	1459204
111	8221	1459901
112	8288	1458746
113	8352	1456939
114	8417	1455509
115	8487	1454848
116	8553	1453610
117	8618	1452071
118	8670	1448569
119	8728	1445978
120	8801	1445911
121	8864	1444358
122	8917	1441063
123	8977	1439019
124	9035	1436647
125	9104	1435988
126	9183	1437035
127	9241	1434815
128	9319	1435518
129	9389	1435129
130	9462	1435255
131	9531	1434568
132	9601	1434193
133	9666	1433133
134	9752	1435035
135	9819	1434211
136	9895	1434696
137	9960	1433648
138	10021	1431913
139	10094	1431999
140	10163	1431494
141	10235	1431375
142	10310	1431673
143	10373	1430436
144	10433	1428707
145	10500	1427874
146	10558	1426033
147	10632	1426230
148	10693	1424643
149	10767	1424847
150	10855	1426942
151	10975	1433116
152	11044	1432696
153	11118	1432807
154	11184	1431924
155	11256	1431901
156	11328	1431839
157	11401	1431850
158	11477	1432212
159	11539	1430952
160	11583	1427416
161	11647	1426263
162	11699	1423871
163	11776	1424427
164	11850	1424600
165	11926	1425042
166	11990	1423976
167	12058	1423464
168	12128	1423242
169	12193	1422310
170	12249	1420456
171	12321	1420433
172	12393	1420328
173	12482	1422287
174	12554	1422222
175	12633	1423022
176	12711	1423594
177	12787	1423964
178	12858	1423858
179	12919	1422543
180	13008	1424443
181	13075	1423802
182	13138	1422772
183	13208	1422535
184	13278	1422204
185	13330	1420055
186	13410	1420848
187	13475	1420122
188	13535	1418787
189	13606	1418637
190	13677	1418496
191	13741	1417615
192	13815	1417815
193	13882	1417301
194	13960	1417879
195	14023	1416968
196	14097	1417077
197	14161	1416296
198	14225	1415465
199	14289	1414615
200	14363	1414886
201	14428	1414097
202	14495	1413650
203	14564	1413327
204	14623	1412032
205	14712	1413692
206	14778	1413075
207	14861	1414103
208	14923	1413127
209	14995	1413139
210	15063	1412744
211	15129	1412223
212	15206	1412657
213	15295	1414171
214	15378	1415208
215	15444	1414600
216	15515	1414448
217	15579	1413755
218	15647	1413309
219	15715	1412923
220	15798	1413913
221	15865	1413428
222	15929	1412758
223	15989	1411629
224	16057	1411264
225	16125	1410895
226	16209	1411934
227	16263	1410349
228	16341	1410886
229	16417	1411152
230	16489	1411168
231	16547	1409959
232	16609	1409071
233	16691	1409909
234	16763	1409942
235	16831	1409561
236	16914	1410447
237	16982	1410131
238	17052	1409955
239	17118	1409454
240	17174	1408135
241	17243	1407821
242	17331	1409163
243	17408	1409556
244	17488	1410145
245	17554	1409669
246	17609	1408292
247	17695	1409369
248	17765	1409179
249	17817	1407586
250	17889	1407565
251	17947	1406491
252	18021	1406609
253	18092	1406478
254	18177	1407478
255	18255	1407917
256	18315	1407043
257	18388	1407076
258	18453	1406549
259	18537	1407426
260	18593	1406226
261	18663	1406021
262	18747	1406954
263	18822	1407101
264	18903	1407798
265	18964	1406939
266	19024	1406061
267	19088	1405395
268	19155	1405078
269	19223	1404727
270	19302	1405227
271	19377	1405461
272	19444	1405090
273	19526	1405797
274	19582	1404596
275	19657	1404798
276	19722	1404314
277	19796	1404408
278	19844	1402699
279	19921	1403076
280	20004	1403812
281	20060	1402688
282	20132	1402678
283	20198	1402256
284	20268	1402110
285	20359	1403376
286	20453	1404857
287	20515	1404198
288	20591	1404421
289	20651	1403579
290	20727	1403851
291	20791	1403303
292	20855	1402751
293	20934	1403166
294	21005	1403108
295	21063	1402158
296	21132	1401914
297	21209	1402222
298	21264	1401083
299	21346	1401766
300	21423	1402073
301	21489	1401679
302	21565	1401914
303	21637	1401877
304	21705	1401604
305	21779	1401747
306	21839	1400952
307	21889	1399499
308	21956	1399168
309	22050	1400539
310	22111	1399872
311	22165	1398716
312	22227	1398041
313	22326	1399723
314	22385	1398924
315	22446	1398213
316	22512	1397849
317	22586	1397972
318	22666	1398429
319	22717	1397144
320	22796	1397544
321	22852	1396549
322	22925	1396593
323	23002	1396892
324	23079	1397194
325	23146	1396911
326	23220	1397010
327	23304	1397680
328	23381	1398001
329	23473	1399190
330	23550	1399446
331	23624	1399531
332	23692	1399296
333	23780	1400225
334	23858	1400535
335	23912	1399463
336	23962	1398172
337	24018	1397181
338	24088	1397089
339	24154	1396691
340	24206	1395515
341	24267	1394876
342	24346	1395301
343	24403	1394378
344	24480	1394676
345	24565	1395398
346	24657	1396511
347	24736	1396882
348	24792	1395998
349	24876	1396653
350	24933	1395751
351	24991	1394962
352	25063	1394965
353	25135	1394959
354	25226	1395999
355	25304	1396283
356	25393	1397221
357	25464	1397108
358	25527	1396619
359	25593	1396268
360	25656	1395743
361	25734	1396072
362	25812	1396370
363	25904	1397401
364	25995	1398432
365	26066	1398321
366	26134	1398084
367	26214	1398474
368	26279	1398085
369	26347	1397848
370	26423	1398030
371	26505	1398537
372	26580	1398666
373	26654	1398745
374	26730	1398908
375	26797	1398589
376	26882	1399240
377	26941	1398527
378	27005	1398091
379	27079	1398138
380	27154	1398267
381	27217	1397786
382	27274	1396995
383	27353	1397323
384	27433	1397692
385	27492	1396986
386	27576	1397584
387	27641	1397191
388	27700	1396503
389	27758	1395750
390	27817	1395095
391	27891	1395122
392	27974	1395679
393	28034	1395026
394	28115	1395431
395	28190	1395564
396	28275	1396177
397	28368	1397207
398	28436	1396942
399	28511	1397075
400	28583	1397025
401	28666	1397521
402	28729	1397065
403	28789	1396414
404	28861	1396410
405	28929	1396184
406	29005	1396317
407	29081	1396487
408	29155	1396564
409	29234	1396850
410	29287	1395892
411	29369	1396357
412	29424	1395508
413	29495	1395400
414	29564	1395244
415	29654	1396032
416	29721	1395764
417	29800	1396049
418	29864	1395638
419	29931	1395401
420	30007	1395548
421	30074	1395269
422	30143	1395073
423	30213	1394930
424	30307	1395916
425	30370	1395483
426	30454	1395981
427	30524	1395853
428	30577	1394949
429	30654	1395149
430	30731	1395344
431	30803	1395283
432	30887	1395776
433	30946	1395159
434	31030	1395657
435	31097	1395386
436	31170	1395414
437	31231	1394881
438	31312	1395239
439	31386	1395251
440	31459	1395280
441	31550	1396058
442	31610	1395492
443	31677	1395256
444	31740	1394806
445	31807	1394535
446	31887	1394868
447	31960	1394832
448	32029	1394671
449	32086	1393975
450	32163	1394177
451	32227	1393782
452	32304	1393947
453	32374	1393803
454	32429	1393040
455	32488	1392454
456	32552	1392084
457	32618	1391774
458	32682	1391393
459	32759	1391574
460	32843	1392025
461	32912	1391850
462	32960	1390800
463	33019	1390250
464	33086	1389992
465	33148	1389538
466	33217	1389382
467	33294	1389527
468	33367	1389541
469	33457	1390278
470	33542	1390752
471	33602	1390214
472	33668	1389932
473	33740	1389905
474	33810	1389781
475	33891	1390100
476	33951	1389588
477	34029	1389804
478	34107	1389987
479	34173	1389703
480	34241	1389522
481	34327	1390047
482	34387	1389515
483	34472	1390020
484	34555	1390417
485	34637	1390775
486	34708	1390702
487	34790	1391061
488	34865	1391107
489	34933	1390926
490	35004	1390854
491	35061	1390221
492	35125	1389853
493	35193	1389626
494	35260	1389393
495	35327	1389164
496	35396	1389008
497	35460	1388645
498	35531	1388566
499	35601	1388441
